,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source
62,dens_1059919274311274879,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.5215,,c1ccncc1,Solvent,0.4785,,,,1.0158200000000004,0.00051,10.1021/je301353z
63,dens_1445187430653020908,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.2348,,c1ccncc1,Solvent,0.7652,,,,0.9983500000000004,0.00051,10.1021/je301353z
64,dhmix_1933003504821603087,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.4995,,c1ccncc1,Solvent,0.5005,,-0.4356,0.1089,,,10.1016/j.jct.2013.09.015
65,dens_2199047009222847682,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.6364,,c1ccncc1,Solvent,0.3636,,,,1.0207400000000002,0.00051,10.1021/je301353z
66,dens_626398848152359169,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.498,,O,Solvent,0.502,,,,1.0255000000000003,0.00255,10.1021/je020191g
67,dhmix_773913810754342365,298.15,101.0,Liquid,2,C1COCCN1,Solvent,0.7149,,O,Solvent,0.2851,,-1.753,0.019,,,10.1016/j.jct.2015.06.006
68,dhmix_1012297674499495059,298.15,101.0,Liquid,2,C1COCCN1,Solvent,0.201,,O,Solvent,0.7989999999999999,,-2.758,0.0295,,,10.1016/j.jct.2015.06.006
69,dens_1167008264969667349,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.793,,O,Solvent,0.2069999999999999,,,,1.0057000000000005,0.00245,10.1021/je020191g
70,dhmix_1871930573512426354,298.15,101.0,Liquid,2,C1COCCN1,Solvent,0.4911,,O,Solvent,0.5089,,-3.131,0.0335,,,10.1016/j.jct.2015.06.006
71,dens_2014911999593579414,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.298,,O,Solvent,0.702,,,,1.0309000000000004,0.00255,10.1021/je020191g
72,dhmix_634764080264908666,298.15,101.0,Liquid,2,O,Solvent,0.5011,,OCCN1CCOCC1,Solvent,0.4989,,-2.2633,0.02415,,,10.1016/j.jct.2015.06.006
73,dens_707792343667224312,293.15,101.0,Liquid,2,O,Solvent,0.7534,,OCCN1CCOCC1,Solvent,0.2466,,,,1.0838100000000002,0.00154,10.1016/j.jct.2008.01.007
74,dhmix_1064373607860850902,298.15,101.0,Liquid,2,O,Solvent,0.3051,,OCCN1CCOCC1,Solvent,0.6949,,-1.7936,0.01915,,,10.1016/j.jct.2015.06.006
75,dhmix_1846281306963870091,298.15,101.0,Liquid,2,O,Solvent,0.6998,,OCCN1CCOCC1,Solvent,0.3002,,-2.426,0.026,,,10.1016/j.jct.2015.06.006
